CubeColorR;CubeColorG;CubeColorB;CubeTransparency;CubeVisibility;CylinderColorR;CylinderColorG;CylinderColorB;CylinderTransparency;CylinderVisibility
0.14;0.37;0.7;0.21;0.64;0.52;0.69;0.07;0.39;0.35
0.89;0.22;0.24;0.42;0.24;0.5;0.42;0.6;0.73;0.37
0.87;0.27;0.46;0.7;0.17;0.92;0.82;0.53;0.16;0.63
0.55;0.25;0.46;0.7;0.53;0.89;0.17;0.44;0.46;0.98
0.55;0.19;0.49;0.99;0.76;0.94;0.0;0.71;0.53;1.0
0.54;0.01;0.53;0.99;0.99;1.0;0.0;0.99;0.65;1.0
0.53;0.05;0.63;1.0;0.97;0.99;0.0;0.97;0.85;1.0
0.52;0.11;0.8;1.0;0.97;0.98;0.01;0.97;0.95;1.0
0.52;0.18;0.75;1.0;0.96;0.97;0.01;0.96;0.86;1.0
0.52;0.23;0.77;1.0;0.96;0.96;0.01;0.96;0.86;1.0
0.52;0.2;0.75;1.0;0.96;0.97;0.01;0.96;0.85;1.0
