UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;Trust;Usability;CubeColorR;CubeColorG;CubeColorB;CubeTransparency;CubeVisibility;CylinderColorR;CylinderColorG;CylinderColorB;CylinderTransparency;CylinderVisibility
-1_1;-1;-1;2026-07-23 19:32:22;1;sampling;FALSE;5.0;5.0;0.068;0.225;0.699;0.063;0.375;0.03;0.147;0.339;0.27;0.273
-1_1;-1;-1;2026-07-23 19:32:30;2;sampling;FALSE;5.0;5.0;0.69;0.389;0.786;0.644;0.202;0.634;0.055;0.005;0.725;0.248
-1_1;-1;-1;2026-07-23 19:32:38;3;sampling;FALSE;5.0;5.0;0.969;0.079;0.548;0.525;0.669;0.827;0.318;0.099;0.443;0.644
-1_1;-1;-1;2026-07-23 19:32:46;4;sampling;FALSE;5.0;5.0;0.343;0.358;0.485;0.925;0.293;0.799;0.952;0.769;0.864;0.055
-1_1;-1;-1;2026-07-23 19:32:59;5;sampling;FALSE;5.0;5.0;0.82;0.014;0.897;0.658;0.508;0.584;0.162;0.577;0.534;0.189
-1_1;-1;-1;2026-07-23 19:33:08;6;sampling;FALSE;5.0;5.0;0.581;0.241;0.917;0.635;0.376;0.132;0.385;0.809;0.594;0.982
-1_1;-1;-1;2026-07-23 19:33:15;7;sampling;FALSE;5.0;5.0;0.41;0.112;0.009;0.025;0.194;0.068;0.745;0.824;0.341;0.677
-1_1;-1;-1;2026-07-23 19:33:23;8;sampling;FALSE;5.0;5.0;0.016;0.835;0.573;0.021;0.591;0.974;0.088;0.65;0.405;0.994
-1_1;-1;-1;2026-07-23 19:33:30;9;sampling;FALSE;5.0;5.0;0.296;0.455;0.707;0.577;0.737;0.308;0.714;0.776;0.559;0.165
-1_1;-1;-1;2026-07-23 19:33:37;10;sampling;FALSE;5.0;5.0;0.234;0.161;0.34;0.594;0.299;0.083;0.292;0.812;0.981;0.087
-1_1;-1;-1;2026-07-23 19:33:46;11;sampling;FALSE;5.0;5.0;0.947;0.256;0.842;0.855;0.801;0.771;0.969;0.078;0.718;0.523
-1_1;-1;-1;2026-07-23 19:34:49;12;sampling;FALSE;5.0;5.0;0.969;0.819;0.468;0.806;0.584;0.42;0.748;0.743;0.686;0.763
-1_1;-1;-1;2026-07-23 19:34:57;13;sampling;FALSE;2.333;3.5;0.233;0.567;0.137;0.334;0.989;0.221;0.838;0.18;0.869;0.514
-1_1;-1;-1;2026-07-23 19:35:06;14;sampling;FALSE;2.667;3.0;0.898;0.655;0.526;0.472;0.378;0.972;0.01;0.703;0.136;0.613
-1_1;-1;-1;2026-07-23 19:35:15;15;sampling;FALSE;3.0;3.0;0.019;0.472;0.117;0.278;0.619;0.272;0.896;0.342;0.589;0.422
-1_1;-1;-1;2026-07-23 19:35:26;16;sampling;FALSE;4.667;3.5;0.188;0.417;0.084;0.765;0.266;0.177;0.89;0.262;0.542;0.145
-1_1;-1;-1;2026-07-23 19:35:37;17;sampling;FALSE;3.333;3.0;0.582;0.617;0.066;0.289;0.991;0.536;0.69;0.806;0.579;0.925
