Hypervolume;Iteration;Scale;ReferencePoint
1.413688;1;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.4885346962962962;2;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.9882049029629631;3;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.0184012694814815;4;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.2458377481481477;5;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589328;6;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.658947451851852;7;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.658947451851852;8;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.658947451851852;9;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589920749629634;10;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589920749629634;11;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589920749629634;12;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589920749629634;13;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589920749629634;14;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6589920749629634;15;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6590582643703704;16;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6590582643703704;17;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6590582643703704;18;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.6590582643703704;19;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
